7.24, 0.00, 8.12, 0.00, 5.02, 10.32, 13.64, 0.00, 0.00, 0.00
7.55, 0.66, 5.87, 0.00, 9.23, 9.08, 11.73, 1.94, 0.00, 0.00
10.09, 14.34, 19.09, 14.39, 21.10, 13.80, 27.82, 0.00, 0.00, 0.00
7.44, 0.00, 8.35, 0.00, 5.15, 10.61, 14.02, 0.00, 0.00, 0.00
7.72, 0.56, 6.04, 0.00, 9.43, 9.39, 12.06, 1.89, 0.00, 0.00
7.83, 24.53, 21.97, 0.00, 53.21, 0.00, 23.45, 0.00, 0.00, 0.00
7.59, 5.09, 8.61, 0.00, 8.39, 6.58, 13.08, 3.24, 0.00, 5.00
7.90, 0.00, 7.35, 0.00, 10.63, 5.12, 11.10, 0.78, 0.00, 0.00
5.07, 0.25, 4.38, 0.00, 6.62, 2.04, 6.80, 1.09, 0.00, 0.00
7.84, 0.00, 8.80, 0.00, 5.42, 11.18, 14.77, 0.00, 0.00, 0.00
9.75, 22.43, 24.17, 0.00, 55.88, 0.00, 23.97, 0.00, 0.00, 0.00
7.94, 5.32, 9.00, 0.00, 8.77, 6.87, 13.67, 3.39, 0.00, 5.22
4.48, 0.00, 4.17, 0.00, 6.02, 2.90, 6.29, 0.44, 0.00, 0.00
11.95, 14.93, 17.30, 6.21, 30.23, 12.51, 27.64, 0.00, 0.00, 4.35
8.13, 5.46, 9.22, 0.00, 8.98, 7.04, 14.00, 3.47, 0.00, 5.35
2.42, 0.76, 2.17, 0.00, 2.94, 2.61, 3.92, 0.85, 0.00, 0.59
8.34, 0.00, 9.36, 0.00, 5.75, 11.89, 15.71, 0.00, 0.00, 0.00
8.39, 0.00, 9.42, 0.00, 5.78, 11.96, 15.81, 0.00, 0.00, 0.00
14.29, 18.13, 14.36, 5.93, 31.68, 14.91, 29.79, 0.00, 0.00, 4.36
17.91, 0.00, 25.77, 0.00, 52.35, 17.59, 12.72, 0.00, 0.00, 0.00
14.12, 0.00, 18.32, 1.81, 52.86, 19.65, 18.53, 0.00, 0.00, 2.21
11.94, 17.62, 22.21, 16.30, 25.58, 16.27, 32.91, 0.00, 0.00, 0.00
2.44, 8.05, 7.19, 0.00, 17.60, 0.00, 7.56, 0.00, 0.00, 0.00
8.25, 0.00, 7.68, 0.00, 11.10, 5.35, 11.60, 0.82, 0.00, 0.00
8.72, 5.85, 9.89, 0.00, 9.63, 7.54, 15.01, 3.72, 0.00, 5.74
17.78, 19.30, 13.17, 0.00, 37.32, 13.47, 30.91, 0.00, 0.00, 13.37
2.10, 0.00, 2.33, 0.00, 1.60, 2.98, 3.95, 0.00, 0.00, 0.00
15.36, 13.29, 13.45, 8.57, 27.18, 16.08, 28.81, 0.00, 0.00, 1.58
0.00, 26.83, 21.76, 18.13, 27.91, 19.98, 24.79, 0.00, 0.00, 0.00
5.44, 0.00, 6.10, 0.00, 3.82, 7.75, 10.25, 0.00, 0.00, 0.00
1.29, 25.94, 20.48, 15.04, 23.85, 15.36, 26.45, 0.00, 0.00, 0.00
4.68, 0.00, 4.35, 0.00, 6.29, 3.03, 6.58, 0.46, 0.00, 0.00
18.37, 19.93, 13.61, 0.00, 38.56, 13.91, 31.93, 0.00, 0.00, 13.82
9.51, 0.00, 8.84, 0.00, 12.79, 6.17, 13.36, 0.94, 0.00, 0.00
1.70, 1.09, 1.90, 0.00, 1.90, 1.52, 2.93, 0.72, 0.00, 1.06
14.41, 1.97, 14.33, 11.11, 14.51, 12.04, 25.05, 0.00, 0.00, 0.00
0.52, 2.03, 1.97, 0.00, 4.75, 0.00, 1.80, 0.00, 0.00, 0.00
5.24, 0.00, 5.88, 0.00, 3.68, 7.47, 9.88, 0.00, 0.00, 0.00
